PARL10,PARL25,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
E14000651,UKPARL.2025.CEA,5046435.36,32882507.25,0.15,0.14,17839.96,129048.68,387
E14000651,UKPARL.2025.CSO,27820258.18,32882507.25,0.85,0.86,111208.72,129048.68,921
E14000652,UKPARL.2025.CRA,44946978.93,44970892.19,1.0,1.0,112409.0,112409.0,1187
E14000653,UKPARL.2025.CHS,50139316.08,136191221.39,0.37,0.05,5249.08,111712.0,597
E14000653,UKPARL.2025.CWN,86028981.68,136191221.39,0.63,0.95,106462.92,111712.0,760
E14000654,UKPARL.2025.CRE,21895440.82,25638290.23,0.85,0.81,99420.17,122288.03,929
E14000654,UKPARL.2025.CRS,2185492.26,25638290.23,0.09,0.06,7609.39,122288.03,251
E14000654,UKPARL.2025.CRW,1539391.35,25638290.23,0.06,0.12,15258.46,122288.03,173
E14000655,UKPARL.2025.CRW,9656280.68,17567089.76,0.55,0.6,88449.92,146910.98,698
E14000655,UKPARL.2025.SCN,7902730.72,17567089.76,0.45,0.4,58461.06,146910.98,659
E14000656,UKPARL.2025.CRE,4530617.61,43285250.89,0.1,0.08,9737.66,117461.44,288
E14000656,UKPARL.2025.CRS,35467528.78,43285250.89,0.82,0.78,91605.26,117461.44,897
E14000656,UKPARL.2025.CRW,3272372.7,43285250.89,0.08,0.14,16118.51,117461.44,219
E14000657,UKPARL.2025.DAR,37564988.24,40967799.68,0.92,0.9,101610.0,113034.0,1006
E14000657,UKPARL.2025.ILS,3378619.83,40967799.68,0.08,0.1,11424.0,113034.0,239
E14000658,UKPARL.2025.DRL,30034204.27,30039288.82,1.0,1.0,92083.0,92083.0,1262
